Основная категория,Подкатегория,Пример вопроса,Целевая аудитория,Шаблонный ответ,is_original
Продукты - Карты,Карты рассрочки - ЧЕРЕПАХА,Можно ли использовать карту ЧЕРЕПАХА за границей и какие есть ограничения?,новые клиенты,"Карту ЧЕРЕПАХА можно оформить бесплатно в любом офисе банка, онлайн в интернет-банке или мобильном приложении VTB mBank.",False
Новые клиенты,Первые шаги,Как выполнить вход в Интернет-банк впервые?,новые клиенты,После регистрации вы получите логин и пароль для входа в систему Интернет-банк. При первом входе рекомендуется изменить временный пароль на постоянный и настроить дополнительные параметры безопасности.,False
Новые клиенты,Первые шаги,"Что делать, если при входе в Интернет-банк приложение не принимает пароль?",новые клиенты,После регистрации вы получите логин и пароль для входа в систему Интернет-банк. При первом входе рекомендуется изменить временный пароль на постоянный и настроить дополнительные параметры безопасности.,False
Новые клиенты,Первые шаги,Как изменить временный пароль после первого входа в Интернет-банк?,новые клиенты,После регистрации вы получите логин и пароль для входа в систему Интернет-банк. При первом входе рекомендуется изменить временный пароль на постоянный и настроить дополнительные параметры безопасности.,False
Новые клиенты,Первые шаги,Какие шаги нужно выполнить после регистрации в системе Интернет-банк?,новые клиенты,После регистрации вы получите логин и пароль для входа в систему Интернет-банк. При первом входе рекомендуется изменить временный пароль на постоянный и настроить дополнительные параметры безопасности.,False
Новые клиенты,Первые шаги,Как защитить свой аккаунт в Интернет-банке с помощью дополнительных настроек безопасности?,новые клиенты,После регистрации вы получите логин и пароль для входа в систему Интернет-банк. При первом входе рекомендуется изменить временный пароль на постоянный и настроить дополнительные параметры безопасности.,False
Новые клиенты,Первые шаги,Где найти инструкции по использованию функционала Интернет-банка?,новые клиенты,После регистрации вы получите логин и пароль для входа в систему Интернет-банк. При первом входе рекомендуется изменить временный пароль на постоянный и настроить дополнительные параметры безопасности.,False
Новые клиенты,Первые шаги,Как настроить уведомления о транзакциях и других действиях в Интернет-банке?,новые клиенты,После регистрации вы получите логин и пароль для входа в систему Интернет-банк. При первом входе рекомендуется изменить временный пароль на постоянный и настроить дополнительные параметры безопасности.,False
Новые клиенты,Первые шаги,"Что делать, если я не получил логин или пароль для доступа к Интернет-банку?",новые клиенты,После регистрации вы получите логин и пароль для входа в систему Интернет-банк. При первом входе рекомендуется изменить временный пароль на постоянный и настроить дополнительные параметры безопасности.,False
Новые клиенты,Первые шаги,"Как узнать, какие операции можно выполнять через Интернет-банк?",новые клиенты,После регистрации вы получите логин и пароль для входа в систему Интернет-банк. При первом входе рекомендуется изменить временный пароль на постоянный и настроить дополнительные параметры безопасности.,False
Новые клиенты,Первые шаги,На каком устройстве я могу использовать Интернет-банк?,новые клиенты,После регистрации вы получите логин и пароль для входа в систему Интернет-банк. При первом входе рекомендуется изменить временный пароль на постоянный и настроить дополнительные параметры безопасности.,False
Частные клиенты,Онлайн-сервисы,"Как мне зарегистрироваться в новом Мобильном банке, если я уже был клиентом ранее?",все клиенты,Новые системы Мобильного и Интернет-банка базируются на разных базах зарегистрированных клиентов. Вам потребуется пройти процедуру регистрации в системе при первом использовании системы.,False
Частные клиенты,Онлайн-сервисы,"Зачем мне нужна новая регистрация, если я уже использовал Интернет-банк?",все клиенты,Новые системы Мобильного и Интернет-банка базируются на разных базах зарегистрированных клиентов. Вам потребуется пройти процедуру регистрации в системе при первом использовании системы.,False
Частные клиенты,Онлайн-сервисы,Могу ли я использовать старые данные для входа в новый Интернет-банк?,все клиенты,Новые системы Мобильного и Интернет-банка базируются на разных базах зарегистрированных клиентов. Вам потребуется пройти процедуру регистрации в системе при первом использовании системы.,False
Частные клиенты,Онлайн-сервисы,"Я не могу зарегистрироваться в Мобильном банке, что делать?",все клиенты,Новые системы Мобильного и Интернет-банка базируются на разных базах зарегистрированных клиентов. Вам потребуется пройти процедуру регистрации в системе при первом использовании системы.,False
Частные клиенты,Онлайн-сервисы,"Как узнать, что моя регистрация в новым сервисе прошла успешно?",все клиенты,Новые системы Мобильного и Интернет-банка базируются на разных базах зарегистрированных клиентов. Вам потребуется пройти процедуру регистрации в системе при первом использовании системы.,False
Частные клиенты,Онлайн-сервисы,Могу ли я сколько угодно раз регистрироваться в онлайн-сервисах?,все клиенты,Новые системы Мобильного и Интернет-банка базируются на разных базах зарегистрированных клиентов. Вам потребуется пройти процедуру регистрации в системе при первом использовании системы.,False
Частные клиенты,Онлайн-сервисы,Как долго длится процесс регистрации в новом Мобильном банке?,все клиенты,Новые системы Мобильного и Интернет-банка базируются на разных базах зарегистрированных клиентов. Вам потребуется пройти процедуру регистрации в системе при первом использовании системы.,False
Частные клиенты,Онлайн-сервисы,"Что делать, если при регистрации меня не пускает система?",все клиенты,Новые системы Мобильного и Интернет-банка базируются на разных базах зарегистрированных клиентов. Вам потребуется пройти процедуру регистрации в системе при первом использовании системы.,False
Частные клиенты,Онлайн-сервисы,Могу ли я зарегистрироваться в Мобильном банке через компьютер?,все клиенты,Новые системы Мобильного и Интернет-банка базируются на разных базах зарегистрированных клиентов. Вам потребуется пройти процедуру регистрации в системе при первом использовании системы.,False
Продукты - Кредиты,Экспресс-кредиты - В магазинах-партнерах,"Можно ли оформить экспресс-кредит в интернет-магазинах, или только в физических магазинах-партнерах?",новые клиенты,"Условия кредитования зависят от продукта; вы можете найти ставки, сроки и требования в разделе 'Кредиты' на сайте ВТБ (Беларусь).",False
Продукты - Кредиты,Экспресс-кредиты - В магазинах-партнерах,Каковы минимальные и максимальные сроки возврата экспресс-кредита в магазинах-партнерах?,новые клиенты,"Условия кредитования зависят от продукта; вы можете найти ставки, сроки и требования в разделе 'Кредиты' на сайте ВТБ (Беларусь).",False
Продукты - Кредиты,Экспресс-кредиты - В магазинах-партнерах,Необходимо ли мне получать согласие супруга/супруги для оформления экспресс-кредита в магазине?,новые клиенты,"Условия кредитования зависят от продукта; вы можете найти ставки, сроки и требования в разделе 'Кредиты' на сайте ВТБ (Беларусь).",False
Продукты - Кредиты,Экспресс-кредиты - В магазинах-партнерах,"Какие штрафы могут быть наложены в случае просрочки платежа по экспресс-кредиту, оформленному в магазине?",новые клиенты,"Условия кредитования зависят от продукта; вы можете найти ставки, сроки и требования в разделе 'Кредиты' на сайте ВТБ (Беларусь).",False
Продукты - Кредиты,Экспресс-кредиты - В магазинах-партнерах,Какой процент одобряемых заявок на экспресс-кредиты в магазинах-партнерах?,новые клиенты,"Условия кредитования зависят от продукта; вы можете найти ставки, сроки и требования в разделе 'Кредиты' на сайте ВТБ (Беларусь).",False
Продукты - Кредиты,Экспресс-кредиты - В магазинах-партнерах,Существует ли возможность досрочного погашения экспресс-кредита без штрафов?,новые клиенты,"Условия кредитования зависят от продукта; вы можете найти ставки, сроки и требования в разделе 'Кредиты' на сайте ВТБ (Беларусь).",False
Продукты - Кредиты,Экспресс-кредиты - В магазинах-партнерах,"Как я могу проверить статус своего запроса на экспресс-кредит, поданный в магазине-партнере?",новые клиенты,"Условия кредитования зависят от продукта; вы можете найти ставки, сроки и требования в разделе 'Кредиты' на сайте ВТБ (Беларусь).",False
Продукты - Кредиты,Экспресс-кредиты - В магазинах-партнерах,"Могу ли я оформить экспресс-кредит, если у меня уже есть действующий кредит в вашем банке?",новые клиенты,"Условия кредитования зависят от продукта; вы можете найти ставки, сроки и требования в разделе 'Кредиты' на сайте ВТБ (Беларусь).",False
Продукты - Кредиты,Экспресс-кредиты - В магазинах-партнерах,Как влияет на одобрение экспресс-кредита мой доход и трудоустройство?,новые клиенты,"Условия кредитования зависят от продукта; вы можете найти ставки, сроки и требования в разделе 'Кредиты' на сайте ВТБ (Беларусь).",False
Продукты - Кредиты,Экспресс-кредиты - В магазинах-партнерах,Применяются ли какие-либо скидки или акции при оформлении экспресс-кредита в магазинах-партнерах?,новые клиенты,"Условия кредитования зависят от продукта; вы можете найти ставки, сроки и требования в разделе 'Кредиты' на сайте ВТБ (Беларусь).",False
Продукты - Карты,Дебетовые карты - Signature,"Можно ли заказать карту Signature онлайн, или нужно приходить в отделение банка?",новые клиенты,Для оформления премиальной карты Signature обратитесь в отделение банка. Карта предназначена для VIP-клиентов с особыми требованиями к сервису.,False
Продукты - Карты,Дебетовые карты - Signature,Есть ли у карты Signature программа лояльности или бонусы за использование?,новые клиенты,Для оформления премиальной карты Signature обратитесь в отделение банка. Карта предназначена для VIP-клиентов с особыми требованиями к сервису.,False
Продукты - Карты,Дебетовые карты - Signature,"Какие документы нужны для оформления карты Signature, если я уже являюсь клиентом банка?",новые клиенты,Для оформления премиальной карты Signature обратитесь в отделение банка. Карта предназначена для VIP-клиентов с особыми требованиями к сервису.,False
Продукты - Карты,Дебетовые карты - Signature,"Что делать, если у меня возникли проблемы с картой Signature за границей?",новые клиенты,Для оформления премиальной карты Signature обратитесь в отделение банка. Карта предназначена для VIP-клиентов с особыми требованиями к сервису.,False
Продукты - Карты,Дебетовые карты - Signature,Есть ли ограничения на снятие наличных с карты Signature в других странах?,новые клиенты,Для оформления премиальной карты Signature обратитесь в отделение банка. Карта предназначена для VIP-клиентов с особыми требованиями к сервису.,False
Продукты - Карты,Дебетовые карты - Signature,"Как можно обновить или заменить карту Signature, если она потеряна или украдена?",новые клиенты,Для оформления премиальной карты Signature обратитесь в отделение банка. Карта предназначена для VIP-клиентов с особыми требованиями к сервису.,False
Продукты - Карты,Дебетовые карты - Signature,"Какие дополнительные услуги предоставляет карта Signature, например, страховка или доступ в бизнес-залы аэропортов?",новые клиенты,Для оформления премиальной карты Signature обратитесь в отделение банка. Карта предназначена для VIP-клиентов с особыми требованиями к сервису.,False
Продукты - Карты,Дебетовые карты - Signature,"Можно ли добавить к карте Signature дополнительные карты для членов семьи, и как это сделать?",новые клиенты,Для оформления премиальной карты Signature обратитесь в отделение банка. Карта предназначена для VIP-клиентов с особыми требованиями к сервису.,False
Продукты - Карты,Дебетовые карты - Signature,"Какова процедура подачи заявления на карту Signature, если я не являюсь клиентом банка?",новые клиенты,Для оформления премиальной карты Signature обратитесь в отделение банка. Карта предназначена для VIP-клиентов с особыми требованиями к сервису.,False
Продукты - Карты,Дебетовые карты - Signature,Какое минимальное количество средств должно оставаться на счету с картой Signature в течение месяца?,новые клиенты,Для оформления премиальной карты Signature обратитесь в отделение банка. Карта предназначена для VIP-клиентов с особыми требованиями к сервису.,False
Продукты - Кредиты,Потребительские - Старт,Какой доход нужно подтвердить для получения кредита 'Старт' и как это влияет на его сумму?,новые клиенты,Сумма кредита 'Старт' определяется индивидуально в зависимости от доходов и платежеспособности клиента.,False
Продукты - Кредиты,Потребительские - Старт,"Могу ли я взять кредит 'Старт', если у меня есть другие кредиты, и как это скажется на сумме данного кредита?",новые клиенты,Сумма кредита 'Старт' определяется индивидуально в зависимости от доходов и платежеспособности клиента.,False
Продукты - Кредиты,Потребительские - Старт,Как долго рассматривается заявка на кредит 'Старт' и когда я смогу узнать о своей максимальной сумме?,новые клиенты,Сумма кредита 'Старт' определяется индивидуально в зависимости от доходов и платежеспособности клиента.,False
Продукты - Кредиты,Потребительские - Старт,"Какие дополнительные документы понадобятся для оформления кредита 'Старт', и как они могут повлиять на итоговую сумму?",новые клиенты,Сумма кредита 'Старт' определяется индивидуально в зависимости от доходов и платежеспособности клиента.,False
Продукты - Кредиты,Потребительские - Старт,"Если у меня нет постоянной работы, могу ли я рассчитывать на кредит 'Старт' и что нужно для этого сделать?",новые клиенты,Сумма кредита 'Старт' определяется индивидуально в зависимости от доходов и платежеспособности клиента.,False
Продукты - Кредиты,Потребительские - Старт,"Какова процентная ставка по кредиту 'Старт', и как она меняется в зависимости от суммы и срока кредита?",новые клиенты,Сумма кредита 'Старт' определяется индивидуально в зависимости от доходов и платежеспособности клиента.,False
Продукты - Кредиты,Потребительские - Старт,Существует ли возможность досрочного погашения кредита 'Старт' и как это повлияет на общую сумму кредита?,новые клиенты,Сумма кредита 'Старт' определяется индивидуально в зависимости от доходов и платежеспособности клиента.,False
Продукты - Кредиты,Потребительские - Старт,"Какой срок кредита 'Старт' наиболее выгоден, исходя из максимальной суммы, которую я могу получить?",новые клиенты,Сумма кредита 'Старт' определяется индивидуально в зависимости от доходов и платежеспособности клиента.,False
Продукты - Кредиты,Потребительские - Старт,Могу ли я получить кредит 'Старт' без поручителей и как это повлияет на его сумму?,новые клиенты,Сумма кредита 'Старт' определяется индивидуально в зависимости от доходов и платежеспособности клиента.,False
Продукты - Кредиты,Потребительские - Старт,"Учитываются ли дополнительные доходы, например, аренда или бизнес, при определении суммы кредита 'Старт'?",новые клиенты,Сумма кредита 'Старт' определяется индивидуально в зависимости от доходов и платежеспособности клиента.,False
Продукты - Карты,Дебетовые карты - Форсаж,Где можно получить карту Форсаж в вашем банке?,новые клиенты,"Карта Форсаж - это карта мгновенного выпуска. Обратитесь в любое отделение ВТБ (Беларусь) с паспортом, и карта будет выдана сразу при обращении.",False
Продукты - Карты,Дебетовые карты - Форсаж,Как быстро я смогу начать пользоваться картой Форсаж после её получения?,новые клиенты,"Карта Форсаж - это карта мгновенного выпуска. Обратитесь в любое отделение ВТБ (Беларусь) с паспортом, и карта будет выдана сразу при обращении.",False
Продукты - Карты,Дебетовые карты - Форсаж,Есть ли возрастные ограничения для получения карты Форсаж?,новые клиенты,"Карта Форсаж - это карта мгновенного выпуска. Обратитесь в любое отделение ВТБ (Беларусь) с паспортом, и карта будет выдана сразу при обращении.",False
Продукты - Карты,Дебетовые карты - Форсаж,Какие преимущества предлагает карта Форсаж по сравнению с обычными дебетовыми картами?,новые клиенты,"Карта Форсаж - это карта мгновенного выпуска. Обратитесь в любое отделение ВТБ (Беларусь) с паспортом, и карта будет выдана сразу при обращении.",False
Продукты - Карты,Дебетовые карты - Форсаж,Можно ли заказать карту Форсаж онлайн или только в отделении?,новые клиенты,"Карта Форсаж - это карта мгновенного выпуска. Обратитесь в любое отделение ВТБ (Беларусь) с паспортом, и карта будет выдана сразу при обращении.",False
Продукты - Карты,Дебетовые карты - Форсаж,Какие комиссии применяются при использовании карты Форсаж?,новые клиенты,"Карта Форсаж - это карта мгновенного выпуска. Обратитесь в любое отделение ВТБ (Беларусь) с паспортом, и карта будет выдана сразу при обращении.",False
Продукты - Карты,Дебетовые карты - Форсаж,"Что делать, если я потеряю карту Форсаж?",новые клиенты,"Карта Форсаж - это карта мгновенного выпуска. Обратитесь в любое отделение ВТБ (Беларусь) с паспортом, и карта будет выдана сразу при обращении.",False
Продукты - Карты,Дебетовые карты - Форсаж,Возможно ли заменить карту Форсаж в случае неисправности?,новые клиенты,"Карта Форсаж - это карта мгновенного выпуска. Обратитесь в любое отделение ВТБ (Беларусь) с паспортом, и карта будет выдана сразу при обращении.",False
Продукты - Вклады,Рублевые - Великий путь,Как можно открыть вклад 'Великий путь'?,новые клиенты,Вклад 'Великий путь' - это безотзывный депозит с особыми условиями доходности и сроками размещения.,False
Продукты - Вклады,Рублевые - Великий путь,Сколько процентов годовых можно заработать на вкладе 'Великий путь'?,новые клиенты,Вклад 'Великий путь' - это безотзывный депозит с особыми условиями доходности и сроками размещения.,False
Продукты - Вклады,Рублевые - Великий путь,Есть ли возможность сделать пополнение вклада 'Великий путь'?,новые клиенты,Вклад 'Великий путь' - это безотзывный депозит с особыми условиями доходности и сроками размещения.,False
Продукты - Вклады,Рублевые - Великий путь,Какой минимальный взнос необходим для открытия вклада 'Великий путь'?,новые клиенты,Вклад 'Великий путь' - это безотзывный депозит с особыми условиями доходности и сроками размещения.,False
Продукты - Вклады,Рублевые - Великий путь,Можно ли закрыть вклад 'Великий путь' до окончания срока?,новые клиенты,Вклад 'Великий путь' - это безотзывный депозит с особыми условиями доходности и сроками размещения.,False
Продукты - Вклады,Рублевые - Великий путь,Как часто начисляются проценты на вклад 'Великий путь'?,новые клиенты,Вклад 'Великий путь' - это безотзывный депозит с особыми условиями доходности и сроками размещения.,False
Продукты - Вклады,Рублевые - Великий путь,"Что произойдет с процентами, если я внесу средства после открытия?",новые клиенты,Вклад 'Великий путь' - это безотзывный депозит с особыми условиями доходности и сроками размещения.,False
Продукты - Вклады,Рублевые - Великий путь,Есть ли какие-то комиссии при открытии вклада 'Великий путь'?,новые клиенты,Вклад 'Великий путь' - это безотзывный депозит с особыми условиями доходности и сроками размещения.,False
Продукты - Вклады,Рублевые - Великий путь,Можно ли открыть вклад 'Великий путь' онлайн?,новые клиенты,Вклад 'Великий путь' - это безотзывный депозит с особыми условиями доходности и сроками размещения.,False
Продукты - Вклады,Рублевые - Великий путь,Какие документы нужны для оформления вклада 'Великий путь'?,новые клиенты,Вклад 'Великий путь' - это безотзывный депозит с особыми условиями доходности и сроками размещения.,False
Продукты - Карты,Дебетовые карты - Infinite,Я часто путешествую. Какие преимущества дает карта Infinite за границей?,новые клиенты,Карта Infinite - это карта высшего уровня. Для оформления обратитесь к персональному менеджеру в отделении банка.,False
Продукты - Карты,Дебетовые карты - Infinite,Могу ли я подключить к карте Infinite дополнительные карты для членов семьи?,новые клиенты,Карта Infinite - это карта высшего уровня. Для оформления обратитесь к персональному менеджеру в отделении банка.,False
Продукты - Карты,Дебетовые карты - Infinite,Как быстро я смогу получить карту Infinite после оформления заявки?,новые клиенты,Карта Infinite - это карта высшего уровня. Для оформления обратитесь к персональному менеджеру в отделении банка.,False
Продукты - Карты,Дебетовые карты - Infinite,Какие комиссии связаны с использованием карты Infinite в других странах?,новые клиенты,Карта Infinite - это карта высшего уровня. Для оформления обратитесь к персональному менеджеру в отделении банка.,False
Продукты - Карты,Дебетовые карты - Infinite,Есть ли возможность оформить карту Infinite в онлайн-формате без посещения отделения?,новые клиенты,Карта Infinite - это карта высшего уровня. Для оформления обратитесь к персональному менеджеру в отделении банка.,False
Продукты - Карты,Дебетовые карты - Infinite,Как я могу управлять расходами по карте Infinite через мобильное приложение?,новые клиенты,Карта Infinite - это карта высшего уровня. Для оформления обратитесь к персональному менеджеру в отделении банка.,False
Продукты - Карты,Дебетовые карты - Infinite,Какую страховую защиту предоставляет карта Infinite при поездках?,новые клиенты,Карта Infinite - это карта высшего уровня. Для оформления обратитесь к персональному менеджеру в отделении банка.,False
Продукты - Карты,Дебетовые карты - Infinite,"Что нужно сделать, если карта Infinite была утеряна или украдена?",новые клиенты,Карта Infinite - это карта высшего уровня. Для оформления обратитесь к персональному менеджеру в отделении банка.,False
Продукты - Карты,Дебетовые карты - Infinite,Есть ли какие-либо программы лояльности для держателей карты Infinite?,новые клиенты,Карта Infinite - это карта высшего уровня. Для оформления обратитесь к персональному менеджеру в отделении банка.,False
Продукты - Карты,Дебетовые карты - Infinite,Как часто обновляются условия и возможности карты Infinite?,новые клиенты,Карта Infinite - это карта высшего уровня. Для оформления обратитесь к персональному менеджеру в отделении банка.,False
Продукты - Карты,Дебетовые карты - MORE,Как узнать баланс на карте MORE через мобильное приложение?,новые клиенты,Карту MORE можно оформить в любом отделении банка ВТБ (Беларусь) с паспортом или онлайн через Интернет-банк и мобильное приложение VTB mBank. Карта выдается бесплатно.,False
Продукты - Карты,Дебетовые карты - MORE,Можно ли подключить автоплатеж к карте MORE?,новые клиенты,Карту MORE можно оформить в любом отделении банка ВТБ (Беларусь) с паспортом или онлайн через Интернет-банк и мобильное приложение VTB mBank. Карта выдается бесплатно.,False
Продукты - Карты,Дебетовые карты - MORE,Как заменить потерянную карту MORE?,новые клиенты,Карту MORE можно оформить в любом отделении банка ВТБ (Беларусь) с паспортом или онлайн через Интернет-банк и мобильное приложение VTB mBank. Карта выдается бесплатно.,False
Продукты - Карты,Дебетовые карты - MORE,"Могу ли я получить временную карту MORE, пока жду основную?",новые клиенты,Карту MORE можно оформить в любом отделении банка ВТБ (Беларусь) с паспортом или онлайн через Интернет-банк и мобильное приложение VTB mBank. Карта выдается бесплатно.,False
Продукты - Карты,Дебетовые карты - MORE,"Как закрыть карту MORE, если она больше не нужна?",новые клиенты,Карту MORE можно оформить в любом отделении банка ВТБ (Беларусь) с паспортом или онлайн через Интернет-банк и мобильное приложение VTB mBank. Карта выдается бесплатно.,False
Продукты - Карты,Дебетовые карты - MORE,"Что делать, если карта MORE не проходит в терминале?",новые клиенты,Карту MORE можно оформить в любом отделении банка ВТБ (Беларусь) с паспортом или онлайн через Интернет-банк и мобильное приложение VTB mBank. Карта выдается бесплатно.,False
Продукты - Карты,Дебетовые карты - MORE,Какие документы нужны для получения карты MORE для ребенка?,новые клиенты,Карту MORE можно оформить в любом отделении банка ВТБ (Беларусь) с паспортом или онлайн через Интернет-банк и мобильное приложение VTB mBank. Карта выдается бесплатно.,False
Продукты - Карты,Кредитные карты - PLAT/ON,Какие преимущества предоставляет карта PLAT/ON при покупках в интернет-магазинах?,новые клиенты,"Карточку PLAT/ON можно оформить в интернет-банке или М-банкинге, в том числе виртуальную карточку, а также обратившись в любой офис Банка.",False
Продукты - Карты,Кредитные карты - PLAT/ON,Можно ли получить дополнительные бонусы при использовании карты PLAT/ON в определённых магазинах?,новые клиенты,"Карточку PLAT/ON можно оформить в интернет-банке или М-банкинге, в том числе виртуальную карточку, а также обратившись в любой офис Банка.",False
Продукты - Карты,Кредитные карты - PLAT/ON,Какие документы нужны для оформления кредитной карты PLAT/ON в офисе банка?,новые клиенты,"Карточку PLAT/ON можно оформить в интернет-банке или М-банкинге, в том числе виртуальную карточку, а также обратившись в любой офис Банка.",False
Продукты - Карты,Кредитные карты - PLAT/ON,Как быстро я смогу получить карту PLAT/ON после подачи заявки через интернет-банк?,новые клиенты,"Карточку PLAT/ON можно оформить в интернет-банке или М-банкинге, в том числе виртуальную карточку, а также обратившись в любой офис Банка.",False
Продукты - Карты,Кредитные карты - PLAT/ON,Можно ли установить лимит на расходы для карты PLAT/ON и как это сделать?,новые клиенты,"Карточку PLAT/ON можно оформить в интернет-банке или М-банкинге, в том числе виртуальную карточку, а также обратившись в любой офис Банка.",False
Продукты - Карты,Кредитные карты - PLAT/ON,Как осуществляется погашение задолженности по карте PLAT/ON через мобильное приложение?,новые клиенты,"Карточку PLAT/ON можно оформить в интернет-банке или М-банкинге, в том числе виртуальную карточку, а также обратившись в любой офис Банка.",False
